Date;Open;High;Low;Close;Volume;Adj Close;lnret
28/11/03;19962;20188;19848;20184;0;20184;0,011109842
1/12/03;20184;20522;20184;20521;0;20521;0,016558541
2/12/03;20523;20630;20354;20458;0;20458;-0,003074748
3/12/03;20462;20586;20322;20540;0;20540;0,0040002
4/12/03;20540;20570;20323;20414;0;20414;-0,006153265
5/12/03;20418;20922;20418;20880;0;20880;0,022570823
8/12/03;20882;20937;20673;20889;0;20889;0,000430942
9/12/03;20889;21363;20889;21260;0;21260;0,017604668
10/12/03;21258;21394;20930;20973;0;20973;-0,013591477
11/12/03;20971;21459;20971;21296;0;21296;0,015283365
12/12/03;21296;21514;20873;20974;0;20974;-0,015235686
15/12/03;20974;21381;20709;20710;0;20710;-0,0126669
16/12/03;20710;20842;20544;20760;0;20760;0,002411383
17/12/03;20763;21318;20763;21199;0;21199;0,020925952
18/12/03;21199;21502;21195;21489;0;21489;0,013587166
19/12/03;21489;21671;21381;21386;0;21386;-0,004804674
22/12/03;21386;21630;21344;21630;0;21630;0,011344738
23/12/03;21631;21914;21631;21688;0;21688;0,002677872
26/12/03;21688;21829;21688;21807;0;21807;0,005471907
29/12/03;21815;22046;21815;22045;0;22045;0,0108548
30/12/03;22051;22310;22051;22236;0;22236;0,008626778
2/01/04;22233;22450;22208;22445;0;22445;0,009355275
5/01/04;22445;23532;22445;23532;0;23532;0,047293325
6/01/04;23532;23976;23180;23576;0;23576;0,001868048
7/01/04;23576;23899;23320;23320;0;23320;-0,010917884
8/01/04;23334;23718;23122;23717;0;23717;0,016880729
9/01/04;23722;24088;23710;23917;0;23917;0,008397413
12/01/04;23896;24323;23892;24237;0;24237;0,013290888
13/01/04;24237;24518;23867;23940;0;23940;-0,012329691
14/01/04;23947;24010;22878;23399;0;23399;-0,022857414
15/01/04;23400;23400;22962;22962;0;22962;-0,018852611
16/01/04;22964;23243;22687;23155;0;23155;0,008370064
19/01/04;23162;23493;23090;23385;0;23385;0,009884051
20/01/04;23382;23724;23382;23679;0;23679;0,012493788
21/01/04;23680;23680;23213;23302;0;23302;-0,016049386
22/01/04;23299;23299;22682;22969;0;22969;-0,014393713
23/01/04;22969;23515;22740;23471;0;23471;0,021620136
26/01/04;23471;24350;23471;24350;0;24350;0,036766233
27/01/04;24355;24473;23908;24226;0;24226;-0,005105413
28/01/04;24226;24460;23787;23852;0;23852;-0,015558365
29/01/04;23849;23859;22300;22386;0;22386;-0,063432308
30/01/04;22384;22615;21649;21851;0;21851;-0,024189076
2/02/04;21842;21867;21336;21787;0;21787;-0,002933225
3/02/04;21794;22287;21794;22281;0;22281;0,022420836
4/02/04;22289;22718;21555;21685;0;21685;-0,02711352
5/02/04;21685;21909;21077;21092;0;21092;-0,027726956
6/02/04;21092;21969;20598;21969;0;21969;0,040738547
9/02/04;21970;22493;21853;21962;0;21962;-0,000318682
10/02/04;21936;22216;21694;22171;0;22171;0,009471441
11/02/04;22173;23241;22057;23197;0;23197;0,045237831
12/02/04;23197;23374;22929;23063;0;23063;-0,005793358
13/02/04;23067;23230;22188;22530;0;22530;-0,023381847
16/02/04;22530;22530;21901;22189;0;22189;-0,015251084
17/02/04;22195;22520;22017;22426;0;22426;0,010624329
18/02/04;22430;22668;21899;22000;0;22000;-0,019178547
19/02/04;21998;21998;20877;20951;0;20951;-0,048856075
20/02/04;20949;21342;20092;21337;0;21337;0,018256277
25/02/04;21341;21732;21341;21609;0;21609;0,01266724
26/02/04;21608;21608;21180;21450;0;21450;-0,007385249
27/02/04;21455;21755;21448;21755;0;21755;0,014118971
1/03/04;21761;22528;21761;22499;0;22499;0,033627248
2/03/04;22496;22714;21942;22442;0;22442;-0,002536661
3/03/04;22442;22801;22191;22550;0;22550;0,004800863
4/03/04;22542;22753;22256;22393;0;22393;-0,006986656
5/03/04;22397;22937;22349;22873;0;22873;0,021208766
8/03/04;22874;23373;22874;22993;0;22993;0,005232646
9/03/04;22993;23094;22503;22674;0;22674;-0,013970928
10/03/04;22674;22674;21670;21670;0;21670;-0,045290078
